icp_number,meter_serial_number,channel_number,started_at,ended_at,value,unit_code,status
0000168329CK1A8,251140160,1,01/07/2024 00:00,01/07/2024 00:29,0.608,kWh,validated
0000168329CK1A8,251140160,1,01/07/2024 00:30,01/07/2024 00:59,0.172,kWh,validated
0000168329CK1A8,251140160,1,01/07/2024 01:00,01/07/2024 01:29,0.198,kWh,validated
0000168329CK1A8,251140160,1,01/07/2024 01:30,01/07/2024 01:59,0.194,kWh,validated
0000168329CK1A8,251140160,1,01/07/2024 02:00,01/07/2024 02:29,0.195,kWh,validated
0000168329CK1A8,251140160,1,01/07/2024 02:30,01/07/2024 02:59,0.195,kWh,validated
0000168329CK1A8,251140160,1,01/07/2024 03:00,01/07/2024 03:29,0.208,kWh,validated
0000168329CK1A8,251140160,1,01/07/2024 03:30,01/07/2024 03:59,0.187,kWh,validated
0000168329CK1A8,251140160,1,01/07/2024 04:00,01/07/2024 04:29,0.197,kWh,validated
0000168329CK1A8,251140160,1,01/07/2024 04:30,01/07/2024 04:59,0.199,kWh,validated
0000168329CK1A8,251140160,1,01/07/2024 05:00,01/07/2024 05:29,0.207,kWh,validated
0000168329CK1A8,251140160,1,01/07/2024 05:30,01/07/2024 05:59,0.188,kWh,validated
0000168329CK1A8,251140160,1,01/07/2024 06:00,01/07/2024 06:29,0.182,kWh,validated
0000168329CK1A8,251140160,1,01/07/2024 06:30,01/07/2024 06:59,0.717,kWh,validated
0000168329CK1A8,251140160,1,01/07/2024 07:00,01/07/2024 07:29,0.203,kWh,validated
0000168329CK1A8,251140160,1,01/07/2024 07:30,01/07/2024 07:59,0.246,kWh,validated
0000168329CK1A8,251140160,1,01/07/2024 08:00,01/07/2024 08:29,0.316,kWh,validated
0000168329CK1A8,251140160,1,01/07/2024 08:30,01/07/2024 08:59,0.270,kWh,validated
0000168329CK1A8,251140160,1,01/07/2024 09:00,01/07/2024 09:29,0.246,kWh,validated
0000168329CK1A8,251140160,1,01/07/2024 09:30,01/07/2024 09:59,0.234,kWh,validated
0000168329CK1A8,251140160,1,01/07/2024 10:00,01/07/2024 10:29,0.696,kWh,validated
0000168329CK1A8,251140160,1,01/07/2024 10:30,01/07/2024 10:59,0.245,kWh,validated
0000168329CK1A8,251140160,1,01/07/2024 11:00,01/07/2024 11:29,0.239,kWh,validated
0000168329CK1A8,251140160,1,01/07/2024 11:30,01/07/2024 11:59,0.202,kWh,validated
0000168329CK1A8,251140160,1,01/07/2024 12:00,01/07/2024 12:29,0.304,kWh,validated
0000168329CK1A8,251140160,1,01/07/2024 12:30,01/07/2024 12:59,0.350,kWh,validated
0000168329CK1A8,251140160,1,01/07/2024 13:00,01/07/2024 13:29,0.223,kWh,validated
0000168329CK1A8,251140160,1,01/07/2024 13:30,01/07/2024 13:59,0.207,kWh,validated
0000168329CK1A8,251140160,1,01/07/2024 14:00,01/07/2024 14:29,0.659,kWh,validated
0000168329CK1A8,251140160,1,01/07/2024 14:30,01/07/2024 14:59,1.278,kWh,validated
0000168329CK1A8,251140160,1,01/07/2024 15:00,01/07/2024 15:29,0.286,kWh,validated
0000168329CK1A8,251140160,1,01/07/2024 15:30,01/07/2024 15:59,0.216,kWh,validated
0000168329CK1A8,251140160,1,01/07/2024 16:00,01/07/2024 16:29,0.316,kWh,validated
0000168329CK1A8,251140160,1,01/07/2024 16:30,01/07/2024 16:59,1.173,kWh,validated
0000168329CK1A8,251140160,1,01/07/2024 17:00,01/07/2024 17:29,1.067,kWh,validated
0000168329CK1A8,251140160,1,01/07/2024 17:30,01/07/2024 17:59,0.659,kWh,validated
0000168329CK1A8,251140160,1,01/07/2024 18:00,01/07/2024 18:29,1.102,kWh,validated
0000168329CK1A8,251140160,1,01/07/2024 18:30,01/07/2024 18:59,0.158,kWh,validated
0000168329CK1A8,251140160,1,01/07/2024 19:00,01/07/2024 19:29,0.170,kWh,validated
0000168329CK1A8,251140160,1,01/07/2024 19:30,01/07/2024 19:59,0.724,kWh,validated
0000168329CK1A8,251140160,1,01/07/2024 20:00,01/07/2024 20:29,0.539,kWh,validated
0000168329CK1A8,251140160,1,01/07/2024 20:30,01/07/2024 20:59,1.372,kWh,validated
0000168329CK1A8,251140160,1,01/07/2024 21:00,01/07/2024 21:29,1.351,kWh,validated
0000168329CK1A8,251140160,1,01/07/2024 21:30,01/07/2024 21:59,1.322,kWh,validated
0000168329CK1A8,251140160,1,01/07/2024 22:00,01/07/2024 22:29,1.054,kWh,validated
0000168329CK1A8,251140160,1,01/07/2024 22:30,01/07/2024 22:59,0.807,kWh,validated
0000168329CK1A8,251140160,1,01/07/2024 23:00,01/07/2024 23:29,1.278,kWh,validated
0000168329CK1A8,251140160,1,01/07/2024 23:30,01/07/2024 23:59,0.443,kWh,validated
0000168329CK1A8,251140160,1,02/07/2024 00:00,02/07/2024 00:29,0.164,kWh,validated
0000168329CK1A8,251140160,1,02/07/2024 00:30,02/07/2024 00:59,0.161,kWh,validated
